,Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,embedding,cluster,keywords
10,DHS-0010-2023,DHS,Customs and Border Protection,,RVSS Legacy Overhauled System Project (INVNT),"Video Computer Aided Detection (VCAD) (also known as Matroid AI) is software that enables CBP end users to create and share vision detectors. 

VCAD detectors are trained computer vision models that recognize objects, people, and events in any image or video stream. Once a detector is trained, it can monitor streaming video in real time, or efficiently search through pre-recorded video data or images to identify objects, people, and events of interest. 

Users can view detection information via a variety of reports and alert notifications to process and identify important events and trends. Detection data is also available through VCAD's powerful developer Application Programming Interface (API) and language specific clients, so CBP applications can be integrated with the power of computer vision.",Implementation,"The Matroid software currently processes and annotates images using proprietary software to determine if any of the images contain human subjects. Future use cases include the potential to detect additional items of interest such as vehicles, subjects with long-arm rifles or large backpacks and to exclude items of little or no interest such as animals.",,Department of Homeland Security,"[ 0.0016807  -0.00947227  0.03595218 ...  0.02425114  0.01621165
 -0.0009668 ]",0,"[('vcad', 0.5073), ('detection', 0.4796), ('detector', 0.4229), ('vision', 0.4091), ('detectors', 0.3887)]"
11,DHS-0011-2023,DHS,Customs and Border Protection,,Use of technology to identify proof of life,"The Use of technology to identify proof of life, or ""Liveness Detection,"" uses Artificial Intelligence to reduce fraudulent activity, primarily for use within the CBP One app.

The CBP One app is designed to provide the public with a single portal to a variety of CBP services. It includes different functionality for travelers, importers, brokers, carriers, International Organizations, and other entities under a single consolidated log-in, and uses guided questions to help users determine the correct services, forms, or applications needed.

The Liveness Detection component used by the authentication system for the CBP One app uses the user's mobile device camera in addition to Artificial Intelligence algorithms to determine if the face presented to the app is the person in front of the camera at the time of capture and not a photo, mask, or other spoofing mechanism. Being able to accept submitted data with confidence that the submitting individual is who and where they claim to be is critical to the functionality of the app within the agency environment. ",Development and Acquisition,Machine Vision,,Department of Homeland Security,"[ 0.02781822 -0.01243469  0.04005719 ...  0.01555315 -0.0317848
 -0.00313966]",3,"[('spoofing', 0.4847), ('cbp', 0.4794), ('authentication', 0.4429), ('detection', 0.3614), ('app', 0.3609)]"
12,DHS-0012-2023,DHS,Customs and Border Protection,,Vessel Detection,"Integrated technologies and analytics enhance maritime detection and the sensor network. Machine-assisted and AI-enhanced detection and tracking allows for improved illicit vessel detection in areas with high volumes of legitimate trade and recreational water vessel traffic by increasing situational awareness and responsiveness to threats.

Vessel Detection allows an agent to set a search area with criteria (e.g., people, drones, vehicles) and transmit that criteria to the sensors.  Images detected by the sensors are auto-recognized using Artificial Intelligence. The AI algorithms filter, detect, and recognize objects and divides them into Items of Interest (IoI) and ""other"" objects. 

Detections of IoI are shared with other detection systems while detections of other objects (e.g., animals) are not shared. IoIs can be tracked and maintained across multiple sensors seamlessly.",Development and Acquisition,Machine Vision,,Department of Homeland Security,"[ 0.01278989  0.01945541  0.04593272 ...  0.01188575 -0.01457176
  0.01970619]",0,"[('ai', 0.4605), ('detections', 0.4572), ('detection', 0.4502), ('ioi', 0.4312), ('iois', 0.4146)]"
13,DHS-0013-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Advanced Analytic Enabled Forensic Investigation,"CISA deploys forensic specialists to analyze cyber events at Federal Civilian Executive Branch (FCEB) departments and agencies, as well as other State, Local, Tribal, Territorial, and Critical Infrastructure partners. Forensic analysts can utilize advanced analytic tooling, in the form of Artificial Intelligence implementations to better understand anomalies and potential threats. This tooling allows forensic specialists the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security,"[-0.00920957  0.01586879  0.03903132 ... -0.00610788 -0.048937
  0.04381167]",3,"[('forensic', 0.425), ('automated', 0.3699), ('cisa', 0.3682), ('analyze', 0.3243), ('analysts', 0.3201)]"
14,DHS-0014-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Advanced Network Anomaly Alerting,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of data from the National Cybersecurity Protection System's (NCPS) Einstein sensors. Manually developed detection alerts and automatic correlation via off the shelf tooling are common, but not comprehensive. Many network attacks can be probabilistically determined given sufficient training data and time. Analysts use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and backed in subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security,"[-0.00126875  0.0214182   0.04283641 ... -0.00368063 -0.02933855
  0.00860588]",3,"[('cybersecurity', 0.5098), ('alerts', 0.4277), ('attacks', 0.36), ('analysts', 0.3576), ('security', 0.3379)]"
15,DHS-0015-2023,DHS,Cybersecurity and Infrastructure Security Agency,,AI Security and Robustness,"Frameworks, processes, and testing tools developed to govern the acquisition, development, deployment, and maintenance of AI technologies. Technology integrators within CISA as well as the rest of the federal enterprise use AI-enhanced tools to assure the trustworthy, robust, and secure operation of their AI systems. These tools use Machine Learning and Natural Language Processing to enhance the assessment of AI technology within the agency by speeding up data processing.",Initiation,"Machine Learning, Natural Language Processing",,Department of Homeland Security,"[-0.03103545 -0.00438996  0.06525522 ... -0.00367753 -0.05713293
  0.02600517]",3,"[('ai', 0.5662), ('tools', 0.4567), ('cisa', 0.3958), ('technologies', 0.3862), ('technology', 0.3509)]"
16,DHS-0016-2023,DHS,Cybersecurity and Infrastructure Security Agency,,AIS Scoring and Feedback,"AIS Automated Scoring & Feedback (AS&F) is uses descriptive analytics from organizational-centric intelligence to support confidence and opinion/reputation classification of indicators of compromise (IOCs). Looking at an indicator AS&F determines if the indicator is present in known-good list by cross-referencing organizational-centric intelligence data of known non-malicious/benign indicators and classifies accordingly if true. If not a known-good, determine if there are sightings of the indicator by cross-referencing organizational-centric intelligence and classify accordingly if true. If there are no sightings for the indicator, determine if this indicator has been verified by an analyst within our organizational-centric intelligence and classify accordingly if true. Lastly if the indicator has not been verified by an analyst, AS&F determines whether there are other reports within our organizational-centric intelligence about this indicator and classifies accordingly. AIS participants can triage against the populated opinion and/or confidence values to identify Indicator objects meeting or exceeding designated criteria and filter out the remaining data. AIS participants may also find value in utilizing the confidence score (if present) and the opinion value to understand whether any difference between the publisher and other organizations exists. Together, these enrichments can help those receiving information from AIS prioritize actioning and investigating Indicator objects.",Operation and Maintenance,Descriptive Analysis; Machine Learning; NLP,,Department of Homeland Security,"[-0.00120792  0.00873042  0.02287732 ... -0.00794371  0.00603958
  0.0180178 ]",3,"[('ais', 0.4666), ('indicators', 0.4484), ('analytics', 0.3776), ('indicator', 0.3614), ('intelligence', 0.3493)]"
17,DHS-0017-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Automated Indicator Sharing (AIS) Automated PII Detection,"The Automated PII Detection and Human Review Process incorporates descriptive, predictive, and prescriptive analytics. Automated PII Detection leverages natural language processing (NLP) tasks including named entity recognition (NER) coupled with Privacy guidance thresholds to automatically detect potential PII from within AIS submissions. If submissions are flagged for possible PII, the submission will be queued for human review where the analysts will be provided with the submission and AI-assisted guidance to the specific PII concerns. Within Human Review, analysts are able to confirm/deny proper identification of PII and redact the information (if needed). Privacy experts are also able to review the actions of the system and analysts to ensure proper performance of the entire process along with providing feedback to the system and analysts for process improvements (if needed). The system learns from feedback from the analysts and Privacy experts. Through the incorporation of the automated PII detection, CISA fully compliances with Privacy, Civil Rights and Civil Liberties requirements of CISA 2015 and scaled analyst review of submissions by removing false positives and providing guidance to submission to be reviewed. Through continual audits CISA will maintain integrity and trust in system and human processes.",Operation and Maintenance,Natural Language Processing,,Department of Homeland Security,"[ 0.00396818  0.0082941   0.0540309  ... -0.01024176 -0.0125604
 -0.00334878]",3,"[('pii', 0.4865), ('cisa', 0.4436), ('automated', 0.3997), ('ai', 0.3562), ('processing', 0.3256)]"
18,DHS-0018-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Critical Infrastructure Anomaly Alerting,"The Cyber Sentry program provides monitoring of critical infrastructure networks. Within the program, threat hunting analysts require advanced anomaly detection and machine learning capabilities to examine multimodal cyber-physical data on IT and OT networks, including ICS/SCADA. The Critical Infrastructure Anomaly Alerting model provides AI-assistance in processing this information.",Initiation,"Machine Learning, Visualization",,Department of Homeland Security,"[-0.0096984  -0.00360811  0.03086086 ... -0.01320415 -0.02588372
 -0.01476511]",3,"[('scada', 0.4175), ('monitoring', 0.4131), ('infrastructure', 0.4092), ('alerting', 0.4032), ('ai', 0.4011)]"
19,DHS-0019-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Incident Reporting,Cyber incident handling specialists utilize advanced automation tools to process data received through various threat intelligence and cyber incident channels. These tools leverage Machine Learning and Natural Language Processing to increase the accuracy and relevance of data that is filtered and presented to human analysts and decision-makers. Machine Learning techniques also assist to aggregate the information in reports for presentation and further analysis. This includes data received through covered CIRCIA entities.,Initiation,"Machine Learning, Natural Language Processing",,Department of Homeland Security,"[-0.01717076  0.02864208  0.0398719  ... -0.01209923 -0.01702586
  0.02130044]",3,"[('automation', 0.4539), ('cyber', 0.3537), ('tools', 0.2954), ('data', 0.2906), ('incident', 0.2529)]"
20,DHS-0020-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Threat Intelligence Feed Correlation,"Cyber Threat Intelligence Feed Correlation uses AI enabled capabilities to provide accelerated correlation across multiple incoming information feeds. This enables more timely enrichment to improve the externally shared information feeds. AI allows the algorithm to use the information items and results to learn most efficient ways to perform the task. Additionally, tailored algorithms could be created to provided sustained surveillance of threat actor TTPs.
",Initiation,"Machine Learning, Natural Language Processing",,Department of Homeland Security,"[-0.00344902 -0.01663042  0.01599298 ... -0.00730213 -0.01079668
  0.01046089]",3,"[('feeds', 0.4721), ('ai', 0.3922), ('feed', 0.3897), ('cyber', 0.3793), ('threat', 0.3218)]"
21,DHS-0021-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Cyber Vulnerability Reporting,"Vulnerability analysts require advanced automation tools to process data received through various  vulnerability reporting channels, as well as aggregate the information for automated sharing. These tools leverage Machine Learning and Natural Language Processing to increase the accuracy and relevance of data that is filtered and presented to human analysts and decision-makers. Machine Learning techniques also assist to aggregate the information in reports for presentation and further analysis. This includes data in the KEV and CVE databases.",Initiation,"Natural Language Processing, Visualization",,Department of Homeland Security,"[-0.0151736   0.04284446  0.09406698 ...  0.01355617 -0.02592544
  0.01366089]",3,"[('vulnerability', 0.3884), ('automated', 0.3327), ('cve', 0.3323), ('databases', 0.3208), ('automation', 0.3203)]"
22,DHS-0022-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Malware Reverse Engineering,"Reverse engineering of malware, and software analysis more broadly, will continue to be a critical activity in support of CISA’s cyber defense mission. Threat Focused Reverse Engineering (TFRE) leverages advanced engineering, formal methods, and deep learning techniques for better cyber threat intelligence. Without scalable, automated tools, it is difficult to disrupt sophisticated adversaries’ malware development lifecycle. New, unique, automated techniques are needed to better target adversaries, augment analysts, and create sophisticated tools for end users. Core tools disrupt the adversary’s development lifecycle by exposing tactics, techniques, and procedures (TTPs). Analysts could spend more time and energy to hunt/takedown threats; adversaries can spend less time operating malware and must commit more resources to reorient. TFRE consists of a broader development pipeline providing tool hardening, enhanced computational abilities, understanding of deployment environments, and other important capabilities.",Initiation,Machine Learning,,Department of Homeland Security,"[ 0.01922824  0.05182246  0.04301603 ...  0.00591438 -0.02738331
  0.0356947 ]",3,"[('malware', 0.453), ('threats', 0.3771), ('tools', 0.3697), ('threat', 0.3621), ('adversaries', 0.3607)]"
23,DHS-0023-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Operational Activities Explorer,"Duty officers and analysts in CISA's Operations Center use a dashboard powered by artificial intelligence to enable sensemaking of ongoing operational activities. Artificial intelligence uses new near-real-time event data (from open source reporting, partner reporting, CISA regional staff, and cybersecurity sensors) coupled with historical cybersecurity and infrastructure security information and previous operational response activity to recommend courses-of-action and engagement strategies with other government entities and critical infrastructure owners and operators based on potential impacts to the National Critical Functions.",Initiation,"Natural Language Processing, Machine Learning, Visualization",,Department of Homeland Security,"[-0.00241399  0.02685699  0.03658064 ... -0.0160625  -0.04925833
  0.01963194]",3,"[('cybersecurity', 0.4604), ('cisa', 0.4541), ('officers', 0.3716), ('sensemaking', 0.3386), ('infrastructure', 0.3364)]"
24,DHS-0024-2023,DHS,Cybersecurity and Infrastructure Security Agency,,Security Information and Event Management (SIEM) Alerting Models,"Threat hunting and Security Operations Center (SOC) analysts are provided terabytes per day of log data. Manually developed detection alerts and automatic correlation in Security Information and Event Management tool are common, but not comprehensive. Many cyber attacks can be probabilistically determined given sufficient training data and time. Analysts  use automated tooling to further refine the alerts they receive and produce additional automated alerts based on aggregated information and curated subject matter expertise. This tooling allows CISA analysts the capabilities to comb through data in an automated fashion with mathematically and probabilistically based models to ensure high fidelity anomalies are detected in a timely manner. ",Initiation,Machine Learning,,Department of Homeland Security,"[-0.00154883  0.03199571  0.0264659  ... -0.00682224 -0.03176422
  0.00763242]",3,"[('alerts', 0.4401), ('cisa', 0.3668), ('threat', 0.366), ('security', 0.3619), ('automated', 0.3591)]"
25,DHS-0025-2023,DHS,HQ,,Text Analytics for Survey Responses (TASR),Text Analytics for Survey Responses (TASR) is an application for performing Natural Language Processing (NLP) and text analytics on survey responses. It is currently being applied by DHS OCHCO to analyze and extract significant topics/themes from unstructured text responses to open-ended questions in the quarterly DHS Pulse Surveys. Results of extracted topics/themes are provided to DHS Leadership to better inform agency-wide efforts to meet employees’ basic needs and improve job satisfaction,Operation and Maintenance,"Natural Language Processing, Latent Dirichlet Allocation",,Department of Homeland Security,"[-0.05370342  0.02951458  0.0538346  ...  0.02330996  0.0115566
  0.0018627 ]",3,"[('surveys', 0.4859), ('text', 0.4147), ('tasr', 0.4084), ('nlp', 0.3923), ('analytics', 0.3687)]"
26,DHS-0026-2023,DHS,"HQ, Customs and Border Protection, Cybersecurity and Infrastructure Security Agency, Countering Weapons of Mass Destruction, Immigration and Customs Enforcement, Intelligence and Analysis, Science and Technology",,RelativityOne,"RelativityOne is a document review platform used to gain efficiencies in document review in litigation, FOIA, and other arenas where large-scale document review and production is necessary.",Operation and Maintenance,"Machine learning, Continuous Active Learning, Clustering",,Department of Homeland Security,"[-0.02085702  0.00149726  0.02069456 ...  0.0315667   0.01717049
 -0.00758551]",3,"[('relativityone', 0.5769), ('document', 0.4149), ('review', 0.3212), ('foia', 0.2811), ('platform', 0.2788)]"
27,DHS-0027-2023,DHS,Immigration and Customs Enforcement,,Normalization Services,"HSI uses Artificial Intelligence to verify, validate, correct, and normalize addresses, phone numbers, names, and ID numbers to streamline the process of correcting data entry errors, point out purposeful misidentification, connect information about a person across HSI datasets, and cut down the number of resource hours needed for investigations. 

Examples of the normalization services provided include: normalizing less well-defined addresses into usable addresses for analysis- (such as those using mile markers instead of a street number); inferring ID type based on user-provided ID value (such as distinguishing a SSN from a DL number without additional context); categorizing name parts while taking into account additional factors (including generational suffixes and multi-part family names); and validating and normalizing phone numbers to the E164 standard, including their identified county of origin.

These services are provided as part of the Repository for Analytics in a Virtualized Environment (RAVEn).  RAVEn is a DHS HSI Innovation Lab project that facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,Machine Learning,,Department of Homeland Security,"[-0.00335596 -0.00340186  0.07942737 ... -0.01295073 -0.05697191
 -0.006433  ]",3,"[('hsi', 0.4723), ('normalizing', 0.3507), ('normalization', 0.3474), ('normalize', 0.3305), ('privacy', 0.3141)]"
28,DHS-0028-2023,DHS,Immigration and Customs Enforcement,,Machine Translation (Previously Language Translator),"Systran provides machine translation for over 100 different language combinations.  Currently the Innovation Lab has licenses for translating Chinese, Spanish, Arabic, Farsi, Russian, German, Ukrainian and Filipino to English.  Systran can translate plain text, word documents, and PDFS.  A web-based UI and API endpoint are available.",Operation and Maintenance,"Machine Learning, Natural Language Processing",,Department of Homeland Security,"[-0.05753433  0.01283814  0.02396047 ... -0.00445076 -0.00769071
  0.02228116]",3,"[('systran', 0.5347), ('translating', 0.4645), ('translate', 0.4039), ('translation', 0.3872), ('language', 0.3341)]"
29,DHS-0029-2023,DHS,Immigration and Customs Enforcement,,Email Analytics,"The Email Analytics application enables a user to review and analyze email data acquired through legal process.  AI is incorporated to accomplish spam message classification, and named entity recognition (NER) for entity extraction of names, organizations, locations, etc.  It also integrates machine translation capabilities using a commercial product.",Implementation,"Machine Learning, Natural Language Processing",,Department of Homeland Security,"[-0.02210202  0.03987811  0.03187266 ...  0.01340044  0.02317107
 -0.00070234]",3,"[('analytics', 0.4627), ('ai', 0.4184), ('email', 0.3843), ('spam', 0.3369), ('application', 0.3085)]"
30,DHS-0030-2023,DHS,Immigration and Customs Enforcement,,Mobile Device Analytics,"Mobile Device Analytics (MDA) has been developed to meet the demand on investigators to view and analyze massive amounts of data resulting from court ordered mobile device extractions.  The overarching goal of MDA is to improve the efficacy of agents and analysts in identifying pertinent evidence, relationships, and criminal networks from data extracted from cellular phones. Machine Learning is being developed for object detection (such as firearms, drugs, money, etc.) in photos and videos contained in the data.

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Development and Acquisition,"Machine Learning, Object Detection, Natural Language Processing",,Department of Homeland Security,"[ 0.03426431  0.05291099  0.04007229 ... -0.00159702 -0.03012369
 -0.00723913]",0,"[('analytics', 0.3994), ('mobile', 0.393), ('privacy', 0.3913), ('device', 0.3824), ('data', 0.3717)]"
31,DHS-0031-2023,DHS,Immigration and Customs Enforcement,,Barcode Scanner,"The Barcode Scanner has been developed to scan and populate detected information into corresponding text fields within the RAVEn GO's Encounter Card. The barcode scanner currently supports MRZ and PDF417 barcode types, frequently found on travel documents (Passport and Passport cards) and US Driver's Licenses. 

This is a DHS HSI Innovation Lab / RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to support ICE’s mission to enforce and investigate violations of U.S. criminal, civil, and administrative laws. RAVEn also enables tools used to analyze trends and isolate criminal patterns as HSI mission needs arise. For more information, please read the DHS/ICE/PIA-055 - Privacy Impact Assessment 055 for RAVEn.",Operation and Maintenance,"Machine Learning, Machine Vision",,Department of Homeland Security,"[ 0.00375883  0.03210028  0.05896623 ... -0.01341295  0.0073641
 -0.01169711]",3,"[('barcode', 0.4491), ('scanner', 0.417), ('privacy', 0.3501), ('scan', 0.3449), ('documents', 0.3145)]"
